"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,23850.00,103.00,73.00,0.00,0.00,94.00,36.00,26.00,"US Airways Inc.","US","ABE","ACY",6,"603",1,1990,3,7,1,"F",
0.00,1.00,38630.00,146.00,78.00,0.00,0.00,151.00,56.00,39.00,"Northwest Airlines Inc.","NW","ABE","DCA",7,"715",1,1990,3,7,1,"F",
0.00,1.00,42000.00,149.00,143.00,0.00,0.00,67.00,44.00,23.00,"Continental Air Lines Inc.","CO","ABE","EWR",7,"715",1,1990,3,7,1,"F",
0.00,1.00,28800.00,122.00,101.00,0.00,0.00,67.00,32.00,19.00,"Eastern Air Lines Inc.","EA","ABE","EWR",6,"650",1,1990,3,7,1,"F",
0.00,1.00,37460.00,147.00,144.00,0.00,0.00,67.00,31.00,17.00,"United Air Lines Inc.","UA","ABE","EWR",7,"715",1,1990,3,7,1,"F",
0.00,1.00,25200.00,99.00,82.00,400.00,0.00,542.00,121.00,114.00,"Eastern Air Lines Inc.","EA","ABE","GSP",6,"640",1,1990,3,7,2,"F",
0.00,1.00,31800.00,128.00,0.00,0.00,0.00,160.00,41.00,30.00,"United Air Lines Inc.","UA","ABE","IAD",6,"619",1,1990,3,7,1,"F",
0.00,1.00,48210.00,184.00,148.00,0.00,0.00,82.00,53.00,28.00,"Northwest Airlines Inc.","NW","ABE","LGA",6,"622",1,1990,3,7,1,"F",
0.00,1.00,16564.00,68.00,65.00,256.00,0.00,82.00,52.00,34.00,"US Airways Inc.","US","ABE","LGA",6,"602",1,1990,3,7,1,"F",
0.00,1.00,26500.00,108.00,81.00,144.00,145.00,82.00,71.00,45.00,"US Airways Inc.","US","ABE","LGA",6,"640",1,1990,3,7,1,"F",
0.00,1.00,37638.00,146.00,47.00,260.00,0.00,82.00,34.00,19.00,"US Airways Inc.","US","ABE","LGA",6,"617",1,1990,3,7,1,"F",
0.00,1.00,35000.00,147.00,49.00,0.00,0.00,82.00,36.00,27.00,"United Air Lines Inc.","UA","ABE","LGA",7,"715",1,1990,3,7,1,"F",
0.00,1.00,25450.00,100.00,63.00,1384.00,0.00,82.00,56.00,24.00,"Northwest Airlines Inc.","NW","ABE","LGA",6,"640",1,1990,3,7,1,"F",
0.00,1.00,30470.00,122.00,67.00,0.00,0.00,82.00,102.00,72.00,"Northwest Airlines Inc.","NW","ABE","LGA",6,"650",1,1990,3,7,1,"F",
0.00,1.00,25340.00,108.00,85.00,0.00,0.00,82.00,46.00,28.00,"United Air Lines Inc.","UA","ABE","LGA",7,"710",1,1990,3,7,1,"F",
0.00,1.00,26500.00,108.00,2.00,0.00,0.00,263.00,53.00,44.00,"US Airways Inc.","US","ABE","ORF",6,"640",1,1990,3,7,1,"F",
0.00,1.00,14700.00,63.00,36.00,0.00,0.00,55.00,92.00,62.00,"US Airways Inc.","US","ABE","PHL",6,"602",1,1990,3,7,1,"F",
0.00,1.00,38000.00,151.00,64.00,0.00,159.00,253.00,56.00,41.00,"US Airways Inc.","US","ABE","PIT",7,"715",1,1990,3,7,1,"F",
0.00,1.00,37610.00,148.00,138.00,0.00,0.00,1269.00,179.00,167.00,"Delta Air Lines Inc.","DL","ABQ","ATL",7,"715",1,1990,3,7,3,"F",
0.00,1.00,36620.00,146.00,0.00,0.00,0.00,781.00,111.00,100.00,"Continental Air Lines Inc.","CO","ABQ","BOI",6,"655",1,1990,3,7,2,"F",
0.00,1.00,30900.00,102.00,88.00,0.00,0.00,280.00,135.00,115.00,"Continental Air Lines Inc.","CO","ABQ","COS",6,"621",1,1990,3,7,1,"F",
0.00,1.00,31800.00,128.00,62.00,831.00,9.00,339.00,77.00,58.00,"United Air Lines Inc.","UA","ABQ","DEN",6,"619",1,1990,3,7,1,"F",
0.00,1.00,32824.00,128.00,95.00,0.00,0.00,339.00,87.00,65.00,"US Airways Inc.","US","ABQ","DEN",6,"619",1,1990,3,7,1,"F",
0.00,1.00,37460.00,147.00,117.00,210.00,15.00,339.00,108.00,91.00,"United Air Lines Inc.","UA","ABQ","DEN",7,"715",1,1990,3,7,1,"F",
0.00,1.00,29673.00,130.00,29.00,340.00,50.00,224.00,52.00,40.00,"Continental Air Lines Inc.","CO","ABQ","ELP",6,"619",1,1990,3,7,1,"F",
0.00,2.00,54055.00,216.00,15.00,0.00,53.00,744.00,235.00,209.00,"Continental Air Lines Inc.","CO","ABQ","IAH",6,"640",1,1990,3,7,2,"F",
0.00,1.00,71467.00,272.00,61.00,0.00,0.00,677.00,110.00,87.00,"Trans World Airways LLC","TW","ABQ","LAX",7,"760",1,1990,3,7,2,"F",
0.00,1.00,37638.00,146.00,140.00,0.00,0.00,677.00,113.00,90.00,"US Airways Inc.","US","ABQ","LAX",6,"617",1,1990,3,7,2,"F",
0.00,1.00,36620.00,146.00,0.00,0.00,0.00,1012.00,151.00,134.00,"Continental Air Lines Inc.","CO","ABQ","MFR",6,"655",1,1990,3,7,3,"F",
0.00,1.00,37460.00,147.00,72.00,0.00,1280.00,1118.00,149.00,129.00,"United Air Lines Inc.","UA","ABQ","ORD",7,"715",1,1990,3,7,3,"F",
0.00,1.00,33096.00,149.00,17.00,0.00,0.00,329.00,71.00,57.00,"Continental Air Lines Inc.","CO","ABQ","PHX",7,"715",1,1990,3,7,1,"F",
0.00,1.00,48250.00,190.00,67.00,795.00,32.00,329.00,78.00,54.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"622",1,1990,3,7,1,"F",
0.00,1.00,42000.00,149.00,144.00,170.00,0.00,628.00,108.00,87.00,"Continental Air Lines Inc.","CO","ABQ","SAN",7,"715",1,1990,3,7,2,"F",
0.00,1.00,72400.00,362.00,284.00,0.00,0.00,896.00,140.00,115.00,"ATA Airlines d/b/a ATA","TZ","ABQ","SFO",7,"760",1,1990,3,7,2,"F",
0.00,1.00,10000.00,19.00,1.00,0.00,0.00,101.00,115.00,95.00,"Westair Airlines Inc.","OE","ACV","RDD",4,"469",1,1990,3,7,1,"F",
0.00,1.00,31000.00,90.00,0.00,0.00,0.00,251.00,55.00,43.00,"Westair Airlines Inc.","OE","ACV","RNO",8,"867",1,1990,3,7,1,"F",
0.00,1.00,42000.00,149.00,79.00,0.00,0.00,88.00,53.00,35.00,"Continental Air Lines Inc.","CO","ACY","EWR",7,"715",1,1990,3,7,1,"F",
0.00,1.00,28550.00,110.00,97.00,0.00,144.00,46.00,32.00,16.00,"US Airways Inc.","US","ACY","PHL",6,"620",1,1990,3,7,1,"F",
0.00,8.00,212000.00,864.00,781.00,0.00,0.00,309.00,525.00,432.00,"US Airways Inc.","US","ACY","PIT",6,"640",1,1990,3,7,1,"F",
0.00,4.00,102334.00,227.00,56.00,1529.00,1961.00,616.00,390.00,342.00,"Reeve Aleutian Airways Inc.","RV","ADK","CDB",7,"711",3,1990,3,7,2,"F",
0.00,3.00,78465.00,321.00,164.00,123.00,18.00,143.00,135.00,94.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"620",1,1990,3,7,1,"F",
0.00,5.00,177500.00,710.00,351.00,1187.00,1937.00,143.00,251.00,165.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"655",1,1990,3,7,1,"F",
0.00,1.00,37610.00,148.00,65.00,26.00,27.00,143.00,63.00,37.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1990,3,7,1,"F",
0.00,1.00,23670.00,98.00,19.00,388.00,3174.00,63.00,25.00,14.00,"Delta Air Lines Inc.","DL","AGS","CAE",6,"640",1,1990,3,7,1,"F",
0.00,2.00,50780.00,220.00,124.00,0.00,0.00,140.00,79.00,57.00,"US Airways Inc.","US","AGS","CLT",6,"620",1,1990,3,7,1,"F",
0.00,1.00,21176.00,86.00,86.00,0.00,55.00,289.00,66.00,60.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",5,"550",3,1990,3,7,1,"F",
0.00,9.00,297148.00,627.00,557.00,4000.00,1439.00,289.00,486.00,408.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",7,"711",3,1990,3,7,1,"F",
0.00,1.00,24000.00,109.00,69.00,0.00,0.00,71.00,26.00,21.00,"Markair Inc.","BF","AKN","DLG",6,"621",1,1990,3,7,1,"F",
0.00,1.00,23670.00,98.00,21.00,0.00,90.00,852.00,150.00,127.00,"Delta Air Lines Inc.","DL","ALB","ATL",6,"640",1,1990,3,7,2,"F",
0.00,1.00,25200.00,99.00,52.00,0.00,2013.00,139.00,40.00,30.00,"Eastern Air Lines Inc.","EA","ALB","AVP",6,"640",1,1990,3,7,1,"F",
0.00,1.00,36125.00,143.00,41.00,0.00,50.00,145.00,62.00,42.00,"Northwest Airlines Inc.","NW","ALB","BOS",6,"655",1,1990,3,7,1,"F",
0.00,1.00,37126.00,151.00,81.00,285.00,502.00,288.00,97.00,74.00,"US Airways Inc.","US","ALB","BWI",7,"715",1,1990,3,7,1,"F",
0.00,1.00,23680.00,100.00,77.00,0.00,200.00,143.00,46.00,36.00,"Northwest Airlines Inc.","NW","ALB","EWR",6,"640",1,1990,3,7,1,"F",
0.00,1.00,26500.00,108.00,36.00,0.00,473.00,136.00,70.00,39.00,"US Airways Inc.","US","ALB","LGA",6,"640",1,1990,3,7,1,"F",
0.00,1.00,26500.00,108.00,59.00,0.00,0.00,234.00,156.00,147.00,"US Airways Inc.","US","ALB","MDT",6,"640",1,1990,3,7,1,"F",
0.00,1.00,25340.00,108.00,87.00,0.00,8.00,723.00,106.00,91.00,"United Air Lines Inc.","UA","ALB","ORD",7,"710",1,1990,3,7,2,"F",
0.00,1.00,38630.00,146.00,63.00,0.00,0.00,212.00,130.00,113.00,"Northwest Airlines Inc.","NW","ALB","PHL",7,"715",1,1990,3,7,1,"F",
0.00,1.00,23850.00,103.00,74.00,0.00,82.00,212.00,57.00,46.00,"US Airways Inc.","US","ALB","PHL",6,"603",1,1990,3,7,1,"F",
